time_s,ref_deg,fdb_deg,error_deg,speed_ref_rpm,speed_rpm,effort,raw_speed_rpm,current,motor_online,axis_enabled
0.0078,0.09,0.67,-0.58,0.0,0.0,-0.262,,,,
0.0279,0.09,0.67,-0.58,0.0,0.0,-0.262,0.0,-334,True,True
0.048,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-334,True,True
0.068,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-334,True,True
0.0879,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-308,True,True
0.1079,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-334,True,True
0.1279,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-327,True,True
0.1479,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-308,True,True
0.1679,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-352,True,True
0.1879,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-334,True,True
0.208,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-370,True,True
0.2278,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-327,True,True
0.2479,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-334,True,True
0.2679,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-327,True,True
0.2879,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-327,True,True
0.308,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-352,True,True
0.3279,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-352,True,True
0.3479,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-334,True,True
0.3678,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-327,True,True
0.3878,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-352,True,True
0.408,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-345,True,True
0.4278,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-359,True,True
0.4479,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-327,True,True
0.4678,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-334,True,True
0.4879,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-334,True,True
0.5079,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-345,True,True
0.5279,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-334,True,True
0.5479,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-327,True,True
0.5678,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-359,True,True
0.5879,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-352,True,True
0.6079,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-334,True,True
0.6279,0.09,0.71,-0.62,0.0,0.0,-0.282,0.0,-352,True,True
